"Term","Search","Next","Freq"
"to the rest of","to the rest","of",40
"we just have to","we just have","to",40
"when you have a","when you have","a",40
"will be the first","will be the","first",40
"you have to have","you have to","have",40
"you want to do","you want to","do",40
"a whole lot of","a whole lot","of",39
"all you have to","all you have","to",39
"and out of the","and out of","the",39
"but i have a","but i have","a",39
"cant wait to go","cant wait to","go",39
"chance to win a","chance to win","a",39
"could not be reached","could not be","reached",39
"do you know what","do you know","what",39
"doesnt have to be","doesnt have to","be",39
"dont want to see","dont want to","see",39
"end of the season","end of the","season",39
"every once in a","every once in","a",39
"for a lot of","for a lot","of",39
"hope everyone has a","hope everyone has","a",39
"i just finished a","i just finished","a",39
"i love it i","i love it","i",39
"i want to know","i want to","know",39
"if there is a","if there is","a",39
"im going to do","im going to","do",39
"in a large bowl","in a large","bowl",39
"in new york and","in new york","and",39
"in the second quarter","in the second","quarter",39
"it all the time","it all the","time",39
"it is one of","it is one","of",39
"it was just a","it was just","a",39
"it will be the","it will be","the",39
"its a good thing","its a good","thing",39
"its gonna be a","its gonna be","a",39
"more often than not","more often than","not",39
"more than million in","more than million","in",39
"now its time to","now its time","to",39
"on his way to","on his way","to",39
"out to be the","out to be","the",39
"see if i can","see if i","can",39
"side of the road","side of the","road",39
"spend a lot of","spend a lot","of",39
"th anniversary of the","th anniversary of","the",39
"thank you all for","thank you all","for",39
"the fact that they","the fact that","they",39
"the last day of","the last day","of",39
"the past few weeks","the past few","weeks",39
"the past three years","the past three","years",39
"the site of the","the site of","the",39
"the state department of","the state department","of",39
"tip of the day","tip of the","day",39
"to listen to the","to listen to","the",39
"to return to the","to return to","the",39
"to see if i","to see if","i",39
"today is the day","today is the","day",39
"we all know that","we all know","that",39
"we have to do","we have to","do",39
"we need to be","we need to","be",39
"were going to get","were going to","get",39
"what you want to","what you want","to",39
"with one of the","with one of","the",39
"a good idea to","a good idea","to",38
"a very long time","a very long","time",38
"across the street from","across the street","from",38
"all the time i","all the time","i",38
"am i supposed to","am i supposed","to",38
"and i love it","and i love","it",38
"and thanks for the","and thanks for","the",38
"at a news conference","at a news","conference",38
"but i think i","but i think","i",38
"but im going to","but im going","to",38
"but it is a","but it is","a",38
"but there is a","but there is","a",38
"dancing with the stars","dancing with the","stars",38
"everyone who came out","everyone who came","out",38
"he said it was","he said it","was",38
"i have a few","i have a","few",38
"i really wanted to","i really wanted","to",38
"i think i might","i think i","might",38
"i wanted to make","i wanted to","make",38
"i would have been","i would have","been",38
"id like to see","id like to","see",38
"im going to get","im going to","get",38
"im going to try","im going to","try",38
"in a few days","in a few","days",38
"is a bit of","is a bit","of",38
"its all about the","its all about","the",38
"just wanted to say","just wanted to","say",38
"let me know when","let me know","when",38
"make the most of","make the most","of",38
"more than a decade","more than a","decade",38
"no one wants to","no one wants","to",38
"on the first day","on the first","day",38
"right in front of","right in front","of",38
"seems to be the","seems to be","the",38
"square feet on for","square feet on","for",38
"the difference between a","the difference between","a",38
"the same time the","the same time","the",38
"the world to me","the world to","me",38
"they were going to","they were going","to",38
"think it would be","think it would","be",38
"to find out what","to find out","what",38
"to name a few","to name a","few",38
"to participate in the","to participate in","the",38
"told the associated press","told the associated","press",38
"up and down the","up and down","the",38
"want to see the","want to see","the",38
"we need to get","we need to","get",38
"we would love to","we would love","to",38
"you dont know what","you dont know","what",38
"you need to get","you need to","get",38
"youre going to be","youre going to","be",38
"a lot of good","a lot of","good",37
"are you looking for","are you looking","for",37
"be able to see","be able to","see",37
"can you follow me","can you follow","me",37
"from around the world","from around the","world",37
"have a great time","have a great","time",37
"have a wonderful day","have a wonderful","day",37
"hope everyone had a","hope everyone had","a",37
"how many of you","how many of","you",37
"i have so much","i have so","much",37
"i love it when","i love it","when",37
"i need a new","i need a","new",37
"i would have to","i would have","to",37
"if i wanted to","if i wanted","to",37
"ill be able to","ill be able","to",37
"in a few hours","in a few","hours",37
"in order to get","in order to","get",37
"in the new york","in the new","york",37
"it could have been","it could have","been",37
"ive been trying to","ive been trying","to",37
"just a little bit","just a little","bit",37
"just around the corner","just around the","corner",37
"keep up with the","keep up with","the",37
"lots and lots of","lots and lots","of",37
"may be able to","may be able","to",37
"more than a few","more than a","few",37
"more than half of","more than half","of",37
"needs to be done","needs to be","done",37
"not to mention the","not to mention","the",37
"of millions of dollars","of millions of","dollars",37
"of the things that","of the things","that",37
"one of my favourite","one of my","favourite",37
"so that we can","so that we","can",37
